teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate,AgeNow,yearSinceRetirement,retirementAge
AS Roma,Édgar Álvarez,18/01/1980,Right Midfield,Retired,01/04/2019,-,29/07/2013,42,3,39
AS Roma,Leandro Greco,19/07/1986,Central Midfield,Retired,01/07/2021,free transfer,01/09/2020,36,1,35
AS Roma,Houssine Kharja,09/11/1982,Central Midfield,Retired,01/07/2016,-,18/09/2015,40,6,34
AS Roma,Alberto Aquilani,07/07/1984,Central Midfield,Retired,01/07/2019,-,24/07/2018,38,3,35
AS Roma,Massimiliano Marsili,14/07/1987,Defensive Midfield,Casarano,20/07/2022,free transfer,05/08/2020,35,0,35
AS Roma,Damiano Tommasi,17/05/1974,Defensive Midfield,Retired,05/07/2019,free transfer,01/06/2019,48,3,45
AS Roma,Olivier Dacourt,25/09/1974,Defensive Midfield,Retired,08/02/2010,-,01/09/2009,48,12,36
AS Roma,Daniele De Rossi,24/07/1983,Defensive Midfield,Retired,06/01/2020,free transfer,26/07/2019,39,2,37
AS Roma,Gianluca Galasso,18/01/1984,Right-Back,Gaeta,18/07/2020,free transfer,16/08/2018,38,2,36
AS Roma,Luigi Sartor,30/01/1975,Right-Back,Retired,01/07/2009,?,01/07/2007,47,13,34
AS Roma,Aleandro Rosi,17/05/1987,Right-Back,Perugia,05/02/2019,-,01/07/2018,35,3,32
AS Roma,Christian Panucci,12/04/1973,Right-Back,Retired,22/08/2010,-,23/02/2010,49,12,37
AS Roma,Fabrizio Grillo,02/02/1987,Left-Back,Retired,01/07/2018,free transfer,24/08/2017,35,4,31
AS Roma,Andrea Briotti,02/05/1986,Left-Back,Astrea,01/07/2011,?,01/01/2011,36,11,25
AS Roma,Leandro Cufré,09/05/1978,Left-Back,Retired,01/07/2015,End of loan,30/06/2015,44,7,37
AS Roma,Gianluca Freddi,29/03/1987,Centre-Back,Retired,01/07/2017,free transfer,31/01/2017,35,5,30
AS Roma,Cristian Chivu,26/10/1980,Centre-Back,Retired,31/03/2014,€16.00m,01/07/2007,42,8,34
AS Roma,Samuel Kuffour,03/09/1976,Centre-Back,Retired,01/01/2010,-,16/04/2009,46,12,34
AS Roma,Cesare Bovo,14/01/1983,Centre-Back,Retired,01/07/2019,-,12/09/2018,39,3,36
AS Roma,Philippe Mexès,30/03/1982,Centre-Back,Retired,01/07/2016,free transfer,01/07/2011,40,6,34
AS Roma,Dimitrios Eleftheropoulos,07/08/1976,Goalkeeper,Retired,21/12/2011,free transfer,11/08/2011,46,10,36
AS Roma,Doni,22/10/1979,Goalkeeper,Retired,12/08/2013,free transfer,31/01/2013,43,9,34
FC Internazionale,Matteo Momentè,26/02/1987,Centre-Forward,Olginatese,30/12/2021,free transfer,24/08/2021,35,0,35
FC Internazionale,Julio Cruz,10/10/1974,Centre-Forward,Retired,01/07/2010,free transfer,01/07/2009,48,12,36
FC Internazionale,Obafemi Martins,28/10/1984,Centre-Forward,Retired,01/01/2021,free transfer,19/09/2020,38,1,37
FC Internazionale,Adriano,17/02/1982,Centre-Forward,Retired,28/05/2016,-,29/01/2016,40,6,34
FC Internazionale,Álvaro Recoba,17/03/1976,Second Striker,Retired,01/08/2015,free transfer,07/07/2011,46,7,39
FC Internazionale,Ilario Aloe,10/07/1986,Right Winger,Without Club,01/07/2015,-,01/12/2013,36,7,29
FC Internazionale,Andy van der Meyde,30/09/1979,Right Winger,Retired,01/07/2012,-,01/01/2012,43,10,33
FC Internazionale,Tijani Belaid,06/09/1987,Attacking Midfield,Without Club,01/07/2022,free transfer,22/02/2022,35,0,35
FC Internazionale,Abdoulaye Diarra,12/10/1986,Left Midfield,Mil. Giarmata,01/07/2014,-,01/02/2014,36,8,28
FC Internazionale,Kily González,04/08/1974,Left Midfield,Retired,01/07/2011,free transfer,01/07/2010,48,11,37
FC Internazionale,Santiago Solari,07/10/1976,Left Midfield,Retired,01/01/2011,free transfer,01/08/2010,46,11,35
FC Internazionale,Juan Sebastián Verón,09/03/1975,Central Midfield,Retired,27/05/2017,-,01/01/2017,47,5,42
FC Internazionale,Georgios Karagounis,06/03/1977,Central Midfield,Retired,01/07/2014,free transfer,11/09/2012,45,8,37
FC Internazionale,David Pizarro,11/09/1979,Central Midfield,Retired,01/01/2019,-,30/01/2017,43,3,40
FC Internazionale,Dejan Stanković,11/09/1978,Central Midfield,Retired,06/07/2013,€4.00m,01/02/2004,44,9,35
FC Internazionale,Cristiano Zanetti,19/04/1977,Defensive Midfield,Retired,30/01/2012,?,31/01/2011,45,10,35
FC Internazionale,Esteban Cambiasso,18/08/1980,Defensive Midfield,Retired,01/07/2017,free transfer,07/08/2015,42,5,37
FC Internazionale,Daniel Semenzato,11/01/1987,Right-Back,Viterbese,20/01/2022,free transfer,29/09/2020,35,0,35
FC Internazionale,Zé Maria,25/07/1973,Right-Back,Retired,01/04/2008,-,01/01/2008,49,14,35
FC Internazionale,Javier Zanetti,10/08/1973,Right-Back,Retired,01/07/2014,€6.50m,01/07/1995,49,8,41
FC Internazionale,Simone Fautario,12/02/1987,Left-Back,Retired,01/07/2019,free transfer,14/12/2018,35,3,32
FC Internazionale,Giuseppe Favalli,08/01/1972,Left-Back,Retired,01/07/2010,free transfer,01/07/2006,50,12,38
FC Internazionale,Nicolas Giani,13/03/1986,Centre-Back,Without Club,01/07/2022,free transfer,08/08/2021,36,0,36
FC Internazionale,Siniša Mihajlović,20/02/1969,Centre-Back,Retired,01/07/2006,free transfer,30/07/2004,53,16,37
FC Internazionale,Leonardo Bonucci,01/05/1987,Centre-Back,Juventus,02/08/2018,€42.00m,21/07/2017,35,4,31
FC Internazionale,Marco Andreolli,10/06/1986,Centre-Back,Retired,01/07/2019,free transfer,31/01/2019,36,3,33
FC Internazionale,Marco Materazzi,19/08/1973,Centre-Back,Retired,01/01/2016,-,12/09/2014,49,6,43
FC Internazionale,Iván Córdoba,11/08/1976,Centre-Back,Retired,01/07/2012,€14.00m,01/01/2000,46,10,36
FC Internazionale,Wálter Samuel,23/03/1978,Centre-Back,Retired,01/07/2016,free transfer,23/07/2014,44,6,38
FC Internazionale,Alex Cordaz,01/01/1983,Goalkeeper,Inter,01/07/2021,free transfer,09/07/2015,39,1,38
FC Internazionale,Francesco Toldo,02/12/1971,Goalkeeper,Retired,01/07/2010,€26.50m,04/07/2001,50,12,38
FC Internazionale,Júlio César,03/09/1979,Goalkeeper,Retired,29/04/2018,-,29/01/2018,43,4,39
AC Milan,Matteo Ardemagni,26/03/1987,Centre-Forward,Siena,31/01/2022,End of loan,30/06/2021,35,0,35
AC Milan,Christian Vieri,12/07/1973,Centre-Forward,Retired,01/04/2009,free transfer,01/07/2008,49,13,36
AC Milan,Filippo Inzaghi,09/08/1973,Centre-Forward,Retired,01/07/2012,€36.15m,02/07/2001,49,10,39
AC Milan,Andriy Shevchenko,29/09/1976,Centre-Forward,Retired,28/07/2012,free transfer,29/08/2009,46,10,36
AC Milan,Rui Costa,29/03/1972,Attacking Midfield,Retired,01/07/2008,free transfer,01/07/2006,50,14,36
AC Milan,Kaká,22/04/1982,Attacking Midfield,Retired,17/12/2017,End of loan,31/12/2014,40,4,36
AC Milan,Serginho,27/06/1971,Left Midfield,Retired,01/07/2008,€8.90m,01/07/1999,51,14,37
AC Milan,Massimo Ambrosini,29/05/1977,Central Midfield,Retired,01/07/2014,free transfer,04/07/2013,45,8,37
AC Milan,Clarence Seedorf,01/04/1976,Central Midfield,Retired,14/01/2014,free transfer,01/07/2012,46,8,38
AC Milan,Gennaro Gattuso,09/01/1978,Central Midfield,Retired,01/07/2013,free transfer,01/07/2012,44,9,35
AC Milan,Davide Di Gennaro,16/06/1988,Defensive Midfield,Portici,12/10/2022,-,01/07/2022,34,0,34
AC Milan,Johann Vogel,08/03/1977,Defensive Midfield,Retired,01/03/2012,-,01/01/2012,45,10,35
AC Milan,Andrea Pirlo,19/05/1979,Defensive Midfield,Retired,01/01/2018,free transfer,06/07/2015,43,4,39
AC Milan,Dario Simic,12/11/1975,Right-Back,Retired,01/08/2010,free transfer,01/07/2010,47,12,35
AC Milan,Cafú,07/06/1970,Right-Back,Retired,01/03/2009,-,01/12/2008,52,13,39
AC Milan,Luca Antonelli,11/02/1987,Left-Back,Miami FC,17/02/2021,-,05/10/2020,35,1,34
AC Milan,Paolo Maldini,26/06/1968,Left-Back,Retired,01/07/2009,-,01/07/1985,54,13,41
AC Milan,Marek Jankulovski,09/05/1977,Left-Back,Retired,20/02/2012,-,10/10/2011,45,10,35
AC Milan,Elia Legati,03/01/1986,Centre-Back,Feralpisalò,16/01/2018,free transfer,12/08/2015,36,4,32
AC Milan,Lino Marzorati,12/10/1986,Centre-Back,Without Club,01/07/2022,free transfer,07/09/2020,36,0,36
AC Milan,Alessandro Costacurta,24/04/1966,Centre-Back,Retired,01/07/2007,End of loan,30/06/1987,56,15,41
AC Milan,Kakhaber Kaladze,27/02/1978,Centre-Back,Retired,01/07/2012,free transfer,31/08/2010,44,10,34
AC Milan,Jaap Stam,17/07/1972,Centre-Back,Retired,29/10/2007,€3.00m,01/07/2006,50,15,35
AC Milan,Alessandro Nesta,19/03/1976,Centre-Back,Retired,01/01/2015,-,26/11/2014,46,7,39
AC Milan,Davide Facchin,29/04/1987,Goalkeeper,Retired,01/07/2022,free transfer,11/07/2019,35,0,35
AC Milan,Valerio Fiori,27/04/1969,Goalkeeper,Retired,01/07/2008,?,01/07/1999,53,14,39
AC Milan,Zeljko Kalac,16/12/1972,Goalkeeper,Retired,01/07/2010,free transfer,01/09/2009,49,12,37
AC Milan,Dida,07/10/1973,Goalkeeper,Retired,01/01/2016,free transfer,01/01/2014,49,6,43
Juventus FC,Michele Paolucci,06/02/1986,Centre-Forward,Civitanovese,01/07/2022,-,10/09/2020,36,0,36
Juventus FC,Fabrizio Miccoli,27/06/1979,Centre-Forward,Retired,15/12/2015,free transfer,01/07/2015,43,6,37
Juventus FC,Adrian Mutu,08/01/1979,Centre-Forward,Retired,01/07/2016,free transfer,17/01/2016,43,6,37
Juventus FC,Zlatan Ibrahimović,03/10/1981,Centre-Forward,AC Milan,02/01/2020,free transfer,23/03/2018,41,2,39
Juventus FC,David Trézéguet,15/10/1977,Centre-Forward,Retired,20/01/2015,free transfer,30/07/2014,45,7,38
Juventus FC,Samon Reider Rodríguez,28/10/1988,Second Striker,Livorno,11/07/2022,free transfer,14/12/2021,34,0,34
Juventus FC,Alessandro Del Piero,09/11/1974,Second Striker,Retired,01/01/2015,-,28/08/2014,48,7,41
Juventus FC,Pavel Nedved,30/08/1972,Left Midfield,Retired,01/07/2009,€45.00m,01/07/2001,50,13,37
Juventus FC,Mauro Camoranesi,04/10/1976,Right Midfield,Retired,01/07/2014,free transfer,22/07/2012,46,8,38
Juventus FC,Claudio Marchisio,19/01/1986,Central Midfield,Retired,03/10/2019,-,01/07/2019,36,3,33
Juventus FC,Alessio Tacchinardi,23/07/1975,Defensive Midfield,Retired,01/07/2008,free transfer,01/07/2007,47,14,33
Juventus FC,Giuliano Giannichedda,21/09/1974,Defensive Midfield,Retired,01/07/2008,free transfer,01/07/2007,48,14,34
Juventus FC,Émerson,04/04/1976,Defensive Midfield,Retired,16/10/2009,-,26/07/2009,46,13,33
Juventus FC,Patrick Vieira,23/06/1976,Defensive Midfield,Retired,14/07/2011,free transfer,07/01/2010,46,11,35
Juventus FC,Alessandro Birindelli,12/11/1974,Right-Back,Retired,01/07/2010,free transfer,20/08/2009,48,12,36
Juventus FC,Gianluca Zambrotta,19/02/1977,Right-Back,Retired,28/11/2013,-,19/07/2013,45,9,36
Juventus FC,Domenico Criscito,30/12/1986,Left-Back,Toronto,07/07/2022,free transfer,01/07/2018,35,0,35
Juventus FC,Gianluca Pessotto,11/08/1970,Left-Back,Retired,01/07/2006,€3.60m,01/07/1995,52,16,36
Juventus FC,Federico Balzaretti,06/12/1981,Left-Back,Retired,12/08/2015,€4.50m,01/08/2012,40,7,33
Juventus FC,Giorgio Chiellini,14/08/1984,Centre-Back,LAFC,07/07/2022,€7.70m,01/07/2005,38,0,38
Juventus FC,Fabio Cannavaro,13/09/1973,Centre-Back,Retired,01/03/2012,-,01/02/2012,49,10,39
Juventus FC,Andrea Pozzato,11/05/1988,Goalkeeper,Briga,01/07/2016,-,01/12/2012,34,6,28
Juventus FC,Landry Bonnefoi,20/09/1983,Goalkeeper,Retired,01/07/2019,free transfer,30/08/2018,39,3,36
Juventus FC,Christian Abbiati,08/07/1977,Goalkeeper,Retired,01/07/2016,End of loan,30/06/2008,45,6,39
Juventus FC,Gianluigi Buffon,28/01/1978,Goalkeeper,Parma,01/07/2021,free transfer,04/07/2019,44,1,43
Heracles Almelo,Gertjan Tamerus,11/10/1980,Centre-Forward,Retired,01/07/2018,free transfer,01/07/2012,42,4,38
Heracles Almelo,Sota Hirayama,06/06/1985,Centre-Forward,Retired,31/01/2018,?,01/01/2017,37,4,33
Heracles Almelo,Marc Höcher,09/09/1984,Right Winger,Retired,01/07/2018,-,31/08/2017,38,4,34
Heracles Almelo,Stefaan Tanghe,15/01/1972,Attacking Midfield,Retired,01/07/2012,free transfer,01/07/2010,50,10,40
Heracles Almelo,Bernard Hofstede,22/09/1980,Central Midfield,Retired,01/07/2016,free transfer,01/07/2014,42,6,36
Heracles Almelo,Kwame Quansah,24/11/1982,Defensive Midfield,Retired,01/12/2016,-,01/03/2016,40,5,35
Heracles Almelo,Remon de Vries,06/07/1979,midfield,Retired,01/07/2015,-,01/07/2014,43,7,36
Heracles Almelo,Mark Looms,24/03/1981,Left-Back,Retired,01/12/2013,free transfer,01/07/2012,41,8,33
Heracles Almelo,Ragnar Klavan,30/10/1985,Centre-Back,Paide,01/07/2021,€1.52m,17/08/2018,37,1,36
Heracles Almelo,Marnix Smit,10/12/1975,Centre-Back,Retired,01/07/2012,free transfer,01/07/2009,46,10,36
Heracles Almelo,Jan Wuytens,09/06/1985,Centre-Back,Retired,01/07/2018,-,01/07/2017,37,4,33
Heracles Almelo,Rudy Jansen,02/01/1979,Centre-Back,Retired,01/07/2013,free transfer,01/07/2011,43,9,34
Heracles Almelo,Chris Wijnterp,22/05/1985,Goalkeeper,Retired,01/07/2014,free transfer,01/07/2011,37,8,29
Heracles Almelo,Brian van Loo,02/04/1975,Goalkeeper,Retired,01/07/2013,free transfer,01/07/2012,47,9,38
Heracles Almelo,Martin Pieckenhagen,15/11/1971,Goalkeeper,Retired,01/07/2011,free transfer,01/08/2010,51,11,40
RBC Roosendaal,Fouad Makhout,23/06/1985,Centre-Forward,Retired,01/12/2015,?,01/07/2013,37,6,31
RBC Roosendaal,Danny Guijt,07/02/1981,Attacking Midfield,Katwijk B,01/07/2016,free transfer,01/07/2013,41,6,35
RBC Roosendaal,Tim Smolders,26/08/1980,Central Midfield,Retired,01/07/2018,free transfer,27/08/2015,42,4,38
RBC Roosendaal,Frits Paap,04/10/1986,Right-Back,Unknown,01/07/2017,free transfer,01/07/2015,36,5,31
RBC Roosendaal,Sidney Lammens,14/06/1977,Right-Back,Retired,01/07/2011,free transfer,01/07/2010,45,11,34
RBC Roosendaal,Björn Daelemans,11/12/1977,Right-Back,Retired,01/07/2011,?,01/07/2010,44,11,33
RBC Roosendaal,Nuelson Wau,17/12/1980,Right-Back,Retired,01/07/2014,?,01/07/2013,41,8,33
RBC Roosendaal,Melvin Fleur,18/02/1982,Left-Back,Retired,01/07/2010,free transfer,01/07/2009,40,12,28
RBC Roosendaal,Robert Molenaar,27/02/1969,Centre-Back,Retired,01/07/2007,free transfer,01/07/2003,53,15,38
RBC Roosendaal,José Fortes Rodriguez,13/03/1972,Centre-Back,Retired,01/07/2006,free transfer,01/01/2005,50,16,34
RBC Roosendaal,Adem Yaran,27/01/1985,Defender,Unknown,01/07/2006,free transfer,01/07/2006,37,16,21
RBC Roosendaal,Erwin Friebel,27/03/1983,Goalkeeper,Retired,01/07/2016,free transfer,01/07/2015,39,6,33
RBC Roosendaal,Mark Volders,13/04/1977,Goalkeeper,Retired,01/07/2012,-,01/07/2010,45,10,35
Sparta Rotterdam,Marvin Emnes,27/05/1988,Centre-Forward,Without Club,01/07/2021,-,30/03/2021,34,1,33
Sparta Rotterdam,Ivan Tsvetkov,31/08/1979,Centre-Forward,Retired,01/07/2017,-,19/01/2017,43,5,38
Sparta Rotterdam,Dieter Van Tornhout,18/03/1985,Centre-Forward,SK Berlare,25/07/2019,-,10/01/2017,37,3,34
Sparta Rotterdam,Istvan Bakx,20/01/1986,Attacking Midfield,Retired,01/07/2022,free transfer,19/09/2020,36,0,36
Sparta Rotterdam,Jason Oost,10/10/1982,Attacking Midfield,Retired,01/07/2017,free transfer,18/07/2016,40,5,35
Sparta Rotterdam,Edwin van Bueren,04/04/1980,Central Midfield,Retired,01/07/2015,free transfer,01/07/2012,42,7,35
Sparta Rotterdam,Nathan Rutjes,01/12/1983,Defensive Midfield,Retired,01/07/2019,free transfer,07/08/2018,38,3,35
Sparta Rotterdam,Anthony Obodai,06/08/1982,Defensive Midfield,Retired,01/01/2016,free transfer,07/01/2015,40,6,34
Sparta Rotterdam,Mehmet Kerem Yilmaz,04/06/1984,midfield,Retired,23/09/2013,free transfer,01/07/2011,38,9,29
Sparta Rotterdam,Marciano Bruma,07/03/1984,Right-Back,Zwarte Pijl,01/07/2020,-,01/07/2019,38,2,36
Sparta Rotterdam,Davy De fauw,08/07/1981,Right-Back,Retired,01/07/2020,free transfer,01/07/2016,41,2,39
Sparta Rotterdam,Nebojsa Gudelj,23/09/1968,Left-Back,Retired,01/07/2006,free transfer,01/07/2005,54,16,38
Sparta Rotterdam,Tom Zoontjes,30/03/1985,Centre-Back,Unknown,01/07/2017,free transfer,01/07/2009,37,5,32
Sparta Rotterdam,Wouter Gudde,05/08/1984,Centre-Back,Retired,17/01/2014,free transfer,01/07/2013,38,8,30
Sparta Rotterdam,Danny Schenkel,01/04/1978,Centre-Back,Retired,01/07/2015,free transfer,01/07/2014,44,7,37
Sparta Rotterdam,René Ponk,21/10/1971,Goalkeeper,Retired,01/07/2008,free transfer,01/07/2007,51,14,37
Sparta Rotterdam,Frank Kooiman,13/01/1970,Goalkeeper,Retired,01/05/2008,free transfer,01/07/2006,52,14,38
FC Groningen,Robbin Kieft,22/05/1987,Centre-Forward,sv De Meteoor,01/07/2019,free transfer,01/07/2012,35,3,32
FC Groningen,Glen Salmon,24/12/1977,Centre-Forward,Retired,01/07/2012,free transfer,01/07/2008,44,10,34
FC Groningen,Erik Nevland,10/11/1977,Centre-Forward,Retired,01/01/2013,free transfer,01/07/2010,45,9,36
FC Groningen,Koen van de Laak,03/09/1982,Attacking Midfield,Retired,01/07/2014,free transfer,01/07/2012,40,8,32
FC Groningen,Yuri Cornelisse,08/05/1975,Right Midfield,Retired,01/07/2010,?,01/07/2007,47,12,35
Naval 1º de Maio,Bruno Cazarine,06/05/1983,Centre-Forward,Retired,01/07/2012,free transfer,01/08/2010,39,10,29
Naval 1º de Maio,Pedro Santos,28/06/1976,Central Midfield,Retired,01/07/2011,free transfer,01/08/2008,46,11,35
Naval 1º de Maio,Gilmar,17/10/1973,Defensive Midfield,Retired,01/07/2010,?,01/07/2005,49,12,37
Naval 1º de Maio,Pedro Bessa,18/12/1976,Right-Back,Retired,01/07/2011,?,01/07/2010,45,11,34
Naval 1º de Maio,Carlitos,05/12/1981,Right-Back,Retired,01/07/2019,free transfer,01/07/2018,40,3,37
Naval 1º de Maio,João Paulo,22/02/1983,Centre-Back,Retired,01/05/2009,free transfer,01/12/2008,39,13,26
Naval 1º de Maio,Pedro Franco,18/04/1974,Centre-Back,Retired,01/07/2010,free transfer,01/07/2009,48,12,36
FC Paços de Ferreira,Edinho,07/07/1982,Centre-Forward,Without Club,01/07/2022,free transfer,01/07/2021,40,0,40
FC Paços de Ferreira,Renato Queirós,20/07/1977,Right Winger,Retired,01/07/2012,free transfer,01/07/2010,45,10,35
FC Paços de Ferreira,Cristiano,28/09/1983,Left Winger,Jataiense-GO,02/03/2021,-,11/12/2017,39,1,38
FC Paços de Ferreira,Rui Dolores,02/05/1978,Left Winger,Retired,01/07/2016,-,01/07/2015,44,6,38
FC Paços de Ferreira,Júnior,24/09/1976,Attacking Midfield,Retired,01/01/2019,-,01/01/2017,46,3,43
FC Paços de Ferreira,Edson Nobre,02/03/1980,Right Midfield,Retired,01/07/2012,?,01/07/2011,42,10,32
FC Paços de Ferreira,Pedrinha,03/05/1978,Central Midfield,Retired,01/07/2013,free transfer,01/07/2011,44,9,35
FC Paços de Ferreira,Paulo Sousa,13/05/1975,Defensive Midfield,Retired,01/07/2011,?,01/08/2008,47,11,36
FC Paços de Ferreira,Primo,22/08/1976,Right-Back,Retired,01/07/2015,free transfer,01/07/2014,46,7,39
FC Paços de Ferreira,Fredy,14/08/1979,Left-Back,Retired,01/07/2011,?,01/07/2010,43,11,32
FC Paços de Ferreira,Luiz Carlos,10/03/1980,Centre-Back,Retired,01/07/2015,free transfer,01/08/2013,42,7,35
FC Paços de Ferreira,Tiago Valente,24/04/1985,Centre-Back,Without Club,31/07/2022,free transfer,01/07/2021,37,0,37
FC Paços de Ferreira,José Fonte,22/12/1983,Centre-Back,LOSC Lille,15/07/2018,€5.57m,23/02/2018,38,4,34
FC Paços de Ferreira,Pinho,26/12/1971,Goalkeeper,Retired,01/07/2012,free transfer,01/06/2011,50,10,40
FC Paços de Ferreira,Pedro Correia,22/11/1974,Goalkeeper,Retired,01/07/2009,-,01/07/1993,48,13,35
FC Penafiel,Hélder Guedes,07/05/1987,Centre-Forward,Retired,01/07/2021,-,08/10/2020,35,1,34
FC Penafiel,Krum Bibishkov,02/09/1982,Centre-Forward,Mississauga F.,01/04/2018,free transfer,01/04/2017,40,4,36
FC Penafiel,Zé Rui,16/09/1982,Left Winger,Moimenta Dão,01/07/2021,free transfer,01/07/2019,40,1,39
FC Penafiel,Juninho Petrolina,04/12/1974,Attacking Midfield,Retired,01/01/2015,?,01/01/2014,47,7,40
FC Penafiel,Fernando Aguiar,18/03/1972,Defensive Midfield,Retired,01/07/2014,-,01/07/2013,50,8,42
FC Penafiel,Luís Dias,03/01/1987,Right-Back,Retired,01/07/2021,free transfer,01/07/2019,35,1,34
FC Penafiel,Celso,30/12/1976,Right-Back,Retired,01/07/2012,?,01/12/2011,45,10,35
FC Penafiel,Pedro Moreira,23/10/1983,Right-Back,Retired,01/07/2019,?,01/07/2009,39,3,36
FC Penafiel,Kelly Berville,05/01/1978,Left-Back,Retired,01/07/2011,free transfer,01/07/2010,44,11,33
FC Penafiel,Weligton,26/08/1979,Centre-Back,Retired,01/07/2017,€500Th.,01/07/2008,43,5,38
FC Penafiel,Odair,15/10/1973,Centre-Back,Retired,01/01/2011,?,01/01/2009,49,11,38
FC Penafiel,Nuno Santos,09/07/1978,Goalkeeper,Retired,01/01/2015,?,01/07/2014,44,7,37
FC Penafiel,Vinícius,23/06/1980,Goalkeeper,Without Club,01/01/2009,?,01/07/2007,42,13,29
Clube Futebol Estrela da Amadora,Anselmo,06/01/1984,Centre-Forward,Retired,01/07/2017,-,01/07/2016,38,5,33
Clube Futebol Estrela da Amadora,Démé N'Diaye,06/02/1985,Left Winger,Saint-Nicolas,19/12/2019,-,01/07/2019,37,2,35
Clube Futebol Estrela da Amadora,Rafael Ledesma,31/12/1982,Attacking Midfield,Without Club,01/07/2021,-,20/07/2020,39,1,38
Clube Futebol Estrela da Amadora,Bruno Santos,27/11/1987,Attacking Midfield,Retired,01/07/2015,-,01/07/2014,35,7,28
Clube Futebol Estrela da Amadora,Rui Borges,14/12/1973,Attacking Midfield,Retired,01/07/2010,free transfer,01/07/2009,48,12,36
Clube Futebol Estrela da Amadora,Rui Duarte,16/09/1978,Attacking Midfield,Retired,01/07/2015,-,16/12/2014,44,7,37
Clube Futebol Estrela da Amadora,Jordão,30/08/1971,Defensive Midfield,Retired,01/07/2007,-,01/01/2004,51,15,36
Clube Futebol Estrela da Amadora,Eusébio,31/10/1973,Left-Back,Retired,01/07/2006,free transfer,01/07/2005,49,16,33
Clube Futebol Estrela da Amadora,Carlos,22/01/1973,Centre-Back,Retired,01/07/2007,?,01/06/2007,49,15,34
Clube Futebol Estrela da Amadora,Pedro Simões,24/09/1974,Centre-Back,Retired,01/07/2008,-,01/01/2008,48,14,34
Clube Futebol Estrela da Amadora,Hugo Cardoso,02/02/1987,Goalkeeper,Esp. Lagos,01/07/2022,free transfer,01/07/2021,35,0,35
Clube Futebol Estrela da Amadora,Paulo Lopes,29/06/1978,Goalkeeper,Retired,01/07/2018,free transfer,01/07/2012,44,4,40
Clube Futebol Estrela da Amadora,Bruno Vale,08/04/1983,Goalkeeper,Retired,01/07/2020,free transfer,01/07/2019,39,2,37
Rio Ave FC,Philip Chidi Onyemah,20/02/1984,Centre-Forward,Retired,01/07/2019,free transfer,01/07/2018,38,3,35
Rio Ave FC,Ladji Keita,29/04/1983,Centre-Forward,Retired,01/01/2015,?,03/12/2014,39,7,32
Rio Ave FC,Augusto Gama,26/01/1970,Right Winger,Retired,01/07/2007,?,01/07/1992,52,15,37
Rio Ave FC,Evandro,12/02/1974,Left Winger,Retired,01/01/2011,?,01/07/2010,48,11,37
Rio Ave FC,Agostinho,15/09/1975,Left Winger,Retired,01/07/2012,free transfer,01/07/2011,47,10,37
Rio Ave FC,Diego,04/01/1987,Attacking Midfield,Unknown,19/12/2017,free transfer,01/02/2016,35,4,31
Rio Ave FC,Mozer,15/03/1972,Central Midfield,Retired,01/07/2010,-,01/07/2009,50,12,38
Rio Ave FC,Darko Anic,05/03/1974,Central Midfield,Retired,01/07/2007,free transfer,01/08/2006,48,15,33
Rio Ave FC,Niquinha,30/09/1971,Central Midfield,Retired,01/07/2009,?,01/07/1997,51,13,38
Rio Ave FC,Vítor Gomes,25/12/1987,Defensive Midfield,Rio Ave FC,01/07/2021,free transfer,02/07/2019,34,1,33
Rio Ave FC,Delson,26/07/1980,Defensive Midfield,Retired,31/12/2014,free transfer,01/05/2014,42,7,35
Rio Ave FC,Zé Gomes,24/09/1976,Right-Back,Retired,01/07/2013,free transfer,01/08/2012,46,9,37
Rio Ave FC,Milhazes,17/03/1981,Left-Back,Retired,22/01/2018,free transfer,13/07/2017,41,4,37
Rio Ave FC,Bruno Mendes,15/03/1976,Centre-Back,Retired,01/07/2010,?,01/07/2001,46,12,34
Rio Ave FC,André Vilas Boas,04/06/1983,Centre-Back,Retired,01/07/2017,free transfer,01/08/2011,39,5,34
Rio Ave FC,Danielson,09/01/1981,Centre-Back,FC Maia Lidador,01/07/2021,free transfer,01/07/2019,41,1,40
Rio Ave FC,Adriano,31/01/1983,Goalkeeper,CA Valdevez,01/07/2009,free transfer,01/08/2008,39,13,26
Rio Ave FC,Miguel Mora,03/06/1974,Goalkeeper,Retired,01/07/2010,?,01/07/2003,48,12,36
Vitória Setúbal FC,Modou Sougou,18/12/1984,Right Winger,Retired,01/07/2020,free transfer,04/09/2018,37,2,35
Vitória Setúbal FC,Silvestre Varela,02/02/1985,Left Winger,FC Porto B,20/07/2021,-,09/10/2019,37,1,36
Vitória Setúbal FC,Costinha,07/12/1985,Attacking Midfield,Retired,01/07/2014,?,01/01/2014,36,8,28
Vitória Setúbal FC,Bruno Ribeiro,22/10/1975,Left Midfield,Retired,01/07/2010,End of loan,31/12/2009,47,12,35
Vitória Setúbal FC,Carlitos,06/09/1982,Left Midfield,Retired,01/07/2019,€600Th.,01/07/2014,40,3,37
Vitória Setúbal FC,Julien Fernandes,16/03/1985,Central Midfield,Ugento,01/01/2022,free transfer,02/07/2021,37,0,37
Vitória Setúbal FC,Sandro Mendes,04/02/1977,Defensive Midfield,Retired,01/07/2012,free transfer,01/07/2011,45,10,35
