playerprofile,position,retiredOrNot,lastTransferFee,retirementAge,yearsPlayedOnLastTeam
Mark Schwarzer,Goalkeeper,Retired,free transfer,44,1
Michael Chopra,Centre-Forward,West Allot.,-,38,5
Alan Shearer,Centre-Forward,Retired,€18.00m,36,10
Shola Ameobi,Centre-Forward,Retired,-,37,1
Michael Owen,Centre-Forward,Retired,-,33,1
Lee Clark,Right Winger,Retired,free transfer,34,1
Charles N'Zogbia,Right Winger,Retired,€10.80m,30,5
Albert Luque,Left Winger,Retired,free transfer,33,2
Martin Brittain,Right Midfield,Retired,free transfer,29,0
Kieron Dyer,Right Midfield,Retired,free transfer,34,0
Lee Bowyer,Central Midfield,Retired,free transfer,35,1
Emre Belözoglu,Central Midfield,Retired,free transfer,40,1
Jermaine Jenas,Central Midfield,Retired,-,33,2
Kris Gate,Defensive Midfield,Bedlington Terriers FC,free transfer,27,0
Amdy Faye,Defensive Midfield,Retired,free transfer,34,1
Stephen Carr,Right-Back,Retired,-,37,4
Robbie Elliott,Left-Back,Retired,free transfer,34,1
Celestine Babayaro,Left-Back,Retired,free transfer,30,0
Paul Huntington,Centre-Back,Carlisle United,free transfer,35,10
Craig Moore,Centre-Back,Retired,free transfer,34,0
Steven Taylor,Centre-Back,Retired,free transfer,35,0
Titus Bramble,Centre-Back,Retired,€1.20m,32,3
Jean-Alain Boumsong,Centre-Back,Retired,€915Th.,33,3
Steve Harper,Goalkeeper,Retired,-,41,0
Shay Given,Goalkeeper,Retired,free transfer,41,2
Lee Barnard,Centre-Forward,Retired,free transfer,35,1
Frédéric Kanouté,Centre-Forward,Retired,free transfer,37,2
Robbie Keane,Centre-Forward,Retired,-,38,0
Jermain Defoe,Centre-Forward,Retired,free transfer,40,0
Aaron Lennon,Right Winger,Without Club,free transfer,35,1
Andy Reid,Left Midfield,Retired,free transfer,34,5
Johnnie Jackson,Central Midfield,Retired,free transfer,36,8
Edgar Davids,Central Midfield,Retired,-,41,2
Teemu Tainio,Defensive Midfield,Retired,-,36,2
Tom Huddlestone,Defensive Midfield,Man Utd U21,-,35,1
Michael Carrick,Defensive Midfield,Retired,€27.20m,37,12
Paul Stalteri,Right-Back,Retired,-,36,2
Noureddine Naybet,Centre-Back,Retired,€1.00m,36,2
Anthony Gardner,Centre-Back,Retired,free transfer,34,2
Michael Dawson,Centre-Back,Retired,free transfer,38,3
Ledley King,Centre-Back,Retired,-,32,14
Calum Davenport,Defender,Tavistock FC,-,38,9
Radek Cerny,Goalkeeper,Retired,free transfer,40,1
Paul Robinson,Goalkeeper,Retired,-,38,1
Fernando Morientes,Centre-Forward,Retired,-,39,0
Peter Crouch,Centre-Forward,Retired,free transfer,38,0
Djibril Cissé,Centre-Forward,Retired,-,40,0
Boudewijn Zenden,Left Winger,Retired,-,36,1
Harry Kewell,Left Winger,Retired,-,36,1
Paul Anderson,Right Midfield,Unknown,-,33,1
Darren Potter,Central Midfield,Retired,free transfer,35,0
Steven Gerrard,Central Midfield,Retired,free transfer,37,2
Carl Medjani,Defensive Midfield,Salaise Rhodia,-,37,2
Dietmar Hamann,Defensive Midfield,Retired,-,38,1
Xabi Alonso,Defensive Midfield,Retired,€9.00m,36,3
David Raven,Right-Back,Retired,free transfer,37,2
Antonio Barragán,Right-Back,Without Club,free transfer,35,2
Jan Kromkamp,Right-Back,Retired,free transfer,33,2
John Arne Riise,Left-Back,Retired,-,38,1
Zak Whitbread,Centre-Back,Retired,-,32,1
Djimi Traoré,Centre-Back,Retired,-,34,1
Josemi,Centre-Back,Retired,free transfer,36,1
Sami Hyypiä,Centre-Back,Retired,free transfer,38,2
Daniel Agger,Centre-Back,Retired,€4.00m,31,2
Jamie Carragher,Centre-Back,Retired,-,35,17
David Martin,Goalkeeper,MK Dons,-,36,0
Scott Carson,Goalkeeper,Man City,End of loan,36,0
Pepe Reina,Goalkeeper,Villarreal,free transfer,40,2
Anthony Stokes,Centre-Forward,Retired,-,32,0
Nicklas Bendtner,Centre-Forward,Retired,-,33,1
Robin van Persie,Centre-Forward,Retired,free transfer,36,1
Emmanuel Adebayor,Centre-Forward,AC Semassi FC,-,37,1
Thierry Henry,Centre-Forward,Retired,End of loan,38,3
Dennis Bergkamp,Second Striker,Retired,€11.25m,37,11
Theo Walcott,Right Winger,Southampton,End of loan,32,0
Quincy Owusu-Abeyie,Left Winger,SV Robinhood,-,34,3
Aleksandr Hleb,Attacking Midfield,Retired,free transfer,39,1
Robert Pirès,Left Midfield,Retired,-,42,1
Freddie Ljungberg,Right Midfield,Retired,-,38,1
Fabrice Muamba,Central Midfield,Retired,€6.40m,24,4
Sebastian Larsson,Central Midfield,AIK,-,33,-5
Patrick Cregg,Central Midfield,Retired,-,33,1
Abou Diaby,Central Midfield,Retired,-,33,2
Cesc Fàbregas,Central Midfield,Como,€9.00m,35,3
Alex Song,Defensive Midfield,AS Arta/Solar7,-,33,0
Mathieu Flamini,Defensive Midfield,Retired,-,35,0
Gilberto Silva,Defensive Midfield,Retired,-,40,2
Emmanuel Eboué,Right-Back,Retired,-,33,0
Laurén,Right-Back,Retired,-,33,0
Gaël Clichy,Left-Back,Servette FC,-,36,1
Ashley Cole,Left-Back,Retired,free transfer,38,0
Johan Djourou,Centre-Back,Retired,free transfer,34,1
Pascal Cygan,Centre-Back,Retired,free transfer,37,2
Philippe Senderos,Centre-Back,Retired,-,35,1
Kolo Touré,Centre-Back,Retired,free transfer,36,1
Sol Campbell,Centre-Back,Retired,free transfer,37,1
Mark Howard,Goalkeeper,Wrexham,-,36,1
Manuel Almunia,Goalkeeper,Retired,free transfer,37,2
Mart Poom,Goalkeeper,Retired,€100Th.,37,2
Jens Lehmann,Goalkeeper,Retired,-,42,0
Sylvan Ebanks-Blake,Centre-Forward,Retired,free transfer,33,1
Luke Steele,Centre-Forward,Deeping,free transfer,37,0
Giuseppe Rossi,Centre-Forward,Without Club,-,35,1
Cristiano Ronaldo,Centre-Forward,Man Utd,€117.00m,36,3
Ruud van Nistelrooy,Centre-Forward,Retired,free transfer,36,1
Wayne Rooney,Centre-Forward,Retired,?,36,1
Ole Gunnar Solskjaer,Second Striker,Retired,€2.50m,34,11
Lee Martin,Attacking Midfield,Dover Athletic,free transfer,35,2
Ji-sung Park,Attacking Midfield,Retired,End of loan,33,0
Ryan Giggs,Left Midfield,Retired,-,40,23
Darron Gibson,Central Midfield,Wythenshawe AFC,-,35,1
Ritchie Jones,Central Midfield,Retired,?,30,2
Quinton Fortune,Central Midfield,Retired,free transfer,33,1
Darren Fletcher,Central Midfield,Retired,-,36,1
Alan Smith,Central Midfield,Retired,free transfer,38,4
Paul Scholes,Central Midfield,Retired,-,39,1
Roy Keane,Defensive Midfield,Retired,free transfer,35,0
Phil Bardsley,Right-Back,Without Club,€840Th.,37,5
Gary Neville,Right-Back,Retired,-,36,17
Adam Eckersley,Left-Back,Retired,free transfer,35,1
Kieran Richardson,Left-Back,Retired,-,33,1
Mikaël Silvestre,Left-Back,Retired,-,38,1
Patrice Evra,Left-Back,Retired,-,38,1
Gerard Piqué,Centre-Back,Barcelona,End of loan,21,1
Wes Brown,Centre-Back,Retired,?,39,1
John O'Shea,Centre-Back,Retired,free transfer,38,1
Nemanja Vidic‎,Centre-Back,Retired,free transfer,35,2
Gabriel Heinze,Centre-Back,Retired,free transfer,36,2
Rio Ferdinand,Centre-Back,Retired,free transfer,37,1
Tim Howard,Goalkeeper,Retired,-,42,1
Edwin van der Sar,Goalkeeper,Retired,€4.00m,41,6
Carlton Cole,Centre-Forward,Retired,-,35,1
Eidur Gudjohnsen,Centre-Forward,Retired,-,39,1
Hernán Crespo,Centre-Forward,Retired,free transfer,37,2
Didier Drogba,Centre-Forward,Retired,-,41,2
Shaun Wright-Phillips,Right Winger,Retired,-,38,1
Arjen Robben,Right Winger,Retired,-,37,1
Joe Cole,Attacking Midfield,Retired,free transfer,38,3
Njitap Geremi,Right Midfield,Retired,free transfer,32,1
Damien Duff,Right Midfield,Retired,free transfer,37,1
Tiago Mendes,Central Midfield,Retired,free transfer,36,6
Maniche,Central Midfield,Retired,free transfer,34,1
Frank Lampard,Central Midfield,Retired,End of loan,39,2
Lassana Diarra,Defensive Midfield,Retired,free transfer,34,1
Michael Essien,Defensive Midfield,Retired,-,37,1
Glen Johnson,Right-Back,Retired,-,35,1
Paulo Ferreira,Right-Back,Retired,€20.00m,34,9
Asier del Horno,Left-Back,Retired,free transfer,31,1
Michael Mancienne,Centre-Back,Burton Albion,-,33,0
Robert Huth,Centre-Back,Retired,€4.20m,34,3
William Gallas,Centre-Back,Retired,-,37,0
Ricardo Carvalho,Centre-Back,Retired,-,40,1
John Terry,Centre-Back,Retired,free transfer,37,1
Yves Makabu-Makalambay,Goalkeeper,Retired,-,33,2
Carlo Cudicini,Goalkeeper,Retired,-,41,0
Petr Cech,Goalkeeper,Retired,€14.00m,37,4
Dimitri Lesueur,Centre-Forward,Bocognano,-,35,3
Matthieu Scarpelli,Centre-Forward,Retired,free transfer,36,2
Jean-Jacques Mandrichi,Centre-Forward,Vence,free transfer,36,1
Kaba Diawara,Centre-Forward,Retired,free transfer,35,2
Rafik Saïfi,Centre-Forward,Retired,-,37,2
Moussa N'Diaye,Right Winger,Retired,free transfer,36,4
Xavier Bécas,attack,Retired,free transfer,34,6
Stéphane Ziani,Attacking Midfield,Retired,free transfer,34,1
Kamel Chafni,Attacking Midfield,Retired,free transfer,39,1
Christophe Bastien,Right Midfield,Retired,free transfer,34,1
Jean-Baptiste Pierazzi,Central Midfield,Retired,free transfer,37,1
Ferrugem,Defensive Midfield,Retired,free transfer,33,1
Fabien Laurenti,Right-Back,Retired,free transfer,32,1
Anthony Baron,Left-Back,Retired,free transfer,23,1
Martial Robin,Left-Back,Retired,free transfer,35,2
Xavier Collin,Left-Back,Retired,free transfer,37,3
Giany Joinville,Centre-Back,US Pruniers,free transfer,34,1
Nenad Dzodic,Centre-Back,Retired,free transfer,34,4
Frédéric Danjou,Centre-Back,Retired,-,35,1
Antônio Carlos,Centre-Back,Olaria AC,-,37,1
Stéphane Trévisan,Goalkeeper,Retired,free transfer,36,3
Christian Nadé,Centre-Forward,Annbank United,free transfer,36,0
Sébastien Grax,Centre-Forward,Retired,-,30,3
Ali Zitouni,Right Winger,Retired,free transfer,37,1
Ibrahima Bangoura,Right Winger,Retired,-,31,0
Gaël Danic,Left Winger,Retired,free transfer,40,2
Nicolas Florentin,Left Winger,Retired,free transfer,34,2
Benjamin Nivet,Attacking Midfield,Retired,free transfer,42,7
Gharib Amzine,Left Midfield,Retired,free transfer,36,1
Branko Boskovic,Central Midfield,Retired,-,34,1
Blaise Matuidi,Central Midfield,Miami,€25.00m,33,3
Frédéric Adam,Defensive Midfield,Retired,free transfer,35,2
Éloge Enza-Yamissi,Defensive Midfield,Retired,free transfer,39,2
Stéphen Drouin,Left-Back,Retired,free transfer,31,5
Gaël Sanz,Centre-Back,Retired,free transfer,34,9
Auriol Guillaume,Centre-Back,Retired,-,33,1
Ibrahima Faye,Centre-Back,O Charleville,-,38,3
Alexandre Dujeux,Centre-Back,Retired,free transfer,34,2
Carl Tourenne,Centre-Back,Retired,free transfer,39,2
Florian Boucansaud,Centre-Back,Retired,-,36,7
Blaise Kouassi,Centre-Back,Retired,free transfer,34,2
Quentin Westberg,Goalkeeper,Toronto,-,33,-4
Kim,Centre-Forward,Retired,?,37,3
Gastón Curbelo,Centre-Forward,Retired,?,34,10
Elie Kroupi,Centre-Forward,Retired,free transfer,32,1
Romain Chouleur,Left Winger,Retired,free transfer,31,1
Adrián Sarkisian,Left Midfield,Retired,€1.00m,29,3
Monsef Zerka,Right Midfield,Retired,-,34,2
Benjamin Gavanon,Central Midfield,Retired,free transfer,34,0
Abdoulaye Keita,Defensive Midfield,Unknown,free transfer,36,4
Landry N'Guémo,Defensive Midfield,Retired,-,35,0
Pascal Berenguer,Defensive Midfield,Retired,free transfer,34,2
Stéphane Marseille,midfield,Retired,free transfer,25,4
Adailton,Right-Back,Retired,free transfer,28,3
Jonathan Brison,Left-Back,Retired,free transfer,35,2
Frédéric Biancalani,Left-Back,Retired,-,37,1
Jérémy Sapina,Centre-Back,Retired,free transfer,32,1
Cédric Lecluse,Centre-Back,Retired,free transfer,36,1
André Luiz,Centre-Back,Retired,-,34,1
Pape Diakhaté,Centre-Back,Retired,-,33,0
Sébastien Puygrenier,Centre-Back,Retired,free transfer,36,2
Olivier Sorin,Goalkeeper,Retired,free transfer,35,2
Gennaro Bracigliano,Goalkeeper,Retired,free transfer,39,3
Papiss Cissé,Centre-Forward,Amiens SC,-,37,0
Ruslan Pimenov,Centre-Forward,Retired,free transfer,29,0
Babacar Guèye,Centre-Forward,Retired,free transfer,34,1
Hervé Tum,Centre-Forward,Retired,free transfer,34,0
Souleymane Youla,Centre-Forward,Piliscsaba,-,38,1
Marcin Zewlakow,Centre-Forward,Retired,free transfer,37,1
Nicolas Farina,Right Winger,Without Club,free transfer,32,2
Roy Contout,Right Winger,Without Club,free transfer,31,1
Momar N'Diaye,Right Winger,FC Rodange 91,End of loan,32,0
Ludovic Obraniak,Attacking Midfield,Retired,-,34,0
Szabolcs Huszti,Left Midfield,Retired,free transfer,37,2
Sébastien Renouard,Right Midfield,Retired,free transfer,31,2
Laurent Agouazi,Defensive Midfield,Retired,?,36,1
Stéphane Morisot,Defensive Midfield,Retired,free transfer,35,2
Dino Djiba,Defensive Midfield,Retired,free transfer,24,0
Carl Medjani,Defensive Midfield,Salaise Rhodia,-,37,2
Grégory Leca,Defensive Midfield,Retired,?,33,8
Grégory Proment,Defensive Midfield,Retired,free transfer,34,1
Jamal Alioui,Right-Back,Retired,free transfer,34,3
Samuel Allegro,Right-Back,Retired,?,40,2
Franck Béria,Right-Back,Retired,free transfer,34,10
Jin-ouk Kang,Left-Back,Local club FA,?,33,2
Baptiste Schmisser,Centre-Back,RoeselareDaisel,free transfer,36,1
Sébastien Bassong,Centre-Back,Retired,free transfer,34,1
Stéphane Borbiconi,Centre-Back,Retired,End of loan,32,0
Joris Delle,Goalkeeper,KV Kortrijk,-,31,1
Joslain Mayebi,Goalkeeper,Eding Sport FC,-,33,1
Christophe Marichez,Goalkeeper,Retired,?,36,6
Kossi Agassa,Goalkeeper,Retired,-,39,1
Grégory Wimbée,Goalkeeper,Retired,free transfer,40,2
Edo,Centre-Forward,FC Vallorbe,free transfer,35,2
Cédric Fauré,Centre-Forward,Retired,-,42,1
Grafite,Centre-Forward,Retired,-,39,1
Ismaël Bangoura,Centre-Forward,Al-Taraji,free transfer,35,1
Túlio de Melo,Centre-Forward,Retired,-,34,1
James Fanchone,Right Winger,Retired,free transfer,34,3
Martin Douillard,Left Winger,Aurillac-Arpaj.,free transfer,33,2
Davide Chiumiento,Attacking Midfield,Retired,€300Th.,33,5
Daisuke Matsui,Left Midfield,Yokohama SCC,-,41,1
Luigi Lavecchia,Right Midfield,Retired,?,34,2
Yohan Hautcoeur,Central Midfield,Retired,free transfer,34,2
Frédéric Thomas,Central Midfield,Retired,-,38,0
Bertrand Ndzomo,Defensive Midfield,FC Forward,free transfer,34,1
Laurent Bonnart,Right-Back,Retired,free transfer,35,1
Olivier Thomas,Left-Back,Retired,free transfer,35,1
Jérémy Choplin,Centre-Back,G. Ajaccio,?,36,1
Grégory Cerdan,Centre-Back,Retired,-,34,2
Yoann Poulard,Centre-Back,Retired,free transfer,37,4
Marko Basa,Centre-Back,Retired,€1.50m,34,6
Rodolphe Roche,Goalkeeper,Retired,free transfer,37,1
Yohann Pelé,Goalkeeper,Retired,free transfer,39,6
Kamel Larbi,Centre-Forward,JS Beaulieu,-,33,1
David Bellion,Centre-Forward,Retired,free transfer,34,2
Marama Vahirua,Centre-Forward,Retired,free transfer,40,3
Souleymane Camara,Right Winger,Retired,€500Th.,37,12
Mickaël Buscher,Left Winger,Cap d'Ail,free transfer,33,2
Fabien Lamatina,Left Winger,Retired,free transfer,34,3
Sébastien Roudet,Attacking Midfield,Retired,-,40,1
Florent Balmont,Central Midfield,Retired,free transfer,40,4
Roberto Bisconti,Defensive Midfield,RFC Bressoux,?,45,6
Olivier Echouafni,Defensive Midfield,Retired,free transfer,38,7
François Grenet,Right-Back,Retired,free transfer,33,2
Rod Fanni,Right-Back,Retired,-,39,2
Bill Tchato,Left-Back,Retired,free transfer,37,1
Drissa Diakité,Centre-Back,FC Lucciana,-,35,1
Jacques Abardonado,Centre-Back,Retired,-,36,1
Anthar Yahia,Centre-Back,Retired,free transfer,35,1
Cédric Varrault,Centre-Back,Retired,free transfer,39,1
Sammy Traoré,Centre-Back,Retired,End of loan,35,3
Hugo Lloris,Goalkeeper,Spurs,€8.50m,25,4
Damien Grégorini,Goalkeeper,Retired,€800Th.,35,7
Kévin Gameiro,Centre-Forward,R. Strasbourg,€16.00m,34,3
Haykel Gmamdia,Centre-Forward,Retired,End of loan,30,1
Szilard Nemeth,Second Striker,Retired,-,35,1
Mickaël Pagis,Second Striker,Retired,€1.20m,37,3
Yacine Abdessadki,Right Winger,Retired,-,38,1
Amara Diané,Right Winger,Retired,-,33,1
Salim Arrache,Left Winger,Retired,-,33,0
Romain Gasmi,Attacking Midfield,FC Sélestat,-,34,3
Tommy de Jong,Attacking Midfield,VfR Achern,free transfer,32,7
Ahmed Abou-Mosalem,Left Midfield,Retired,free transfer,33,1
Ulrich Le Pen,Left Midfield,Retired,free transfer,36,1
Gaetan Krebs,Central Midfield,Retired,free transfer,35,3
Hosny Abd Rabo,Central Midfield,Retired,End of loan,35,6
Pascal Johansen,Central Midfield,Retired,free transfer,36,2
Pontus Farnerud,Central Midfield,Retired,free transfer,34,2
Ricardo Faty,Second Yellows,C'Chartres,?,36,0
Sidi Keita,Defensive Midfield,Retired,-,28,1
Yves Deroff,Right-Back,Retired,?,38,2
Guillaume Lacour,Right-Back,Retired,free transfer,36,3
Jean-Christophe Vergerolle,Left-Back,FC Riedisheim,free transfer,36,1
Arthur Boka,Left-Back,Retired,-,39,0
Steve Celestini,Centre-Back,Retired,End of loan,24,1
Habib Bellaïd,Centre-Back,Retired,?,33,1
Jean-Christophe Devaux,Centre-Back,Retired,-,35,1
Christian Bassila,Centre-Back,Retired,free transfer,34,3
Karim Haggui,Centre-Back,Retired,free transfer,34,2
Régis Gurtner,Goalkeeper,Amiens SC,free transfer,28,1
Nicolas Puydebois,Goalkeeper,Retired,free transfer,29,2
Stéphane Cassard,Goalkeeper,Retired,free transfer,39,1
Jean-Louis Akpa Akpro,Centre-Forward,Flint Town,-,37,2
Santos,Centre-Forward,Retired,free transfer,37,1
Daniel Moreira,Second Striker,Retired,free transfer,34,2
Benjamin Psaume,Right Winger,Le Grau du Roi,free transfer,36,3
Fodé Mansare,Left Winger,Retired,free transfer,33,1
Bryan Bergougnoux,Attacking Midfield,Retired,free transfer,36,1
Achille Emaná,Attacking Midfield,Without Club,-,38,0
Thibault Giresse,Left Midfield,Retired,free transfer,37,9
Alexandre Bonnet,Left Midfield,Quevilly Rouen,?,36,13
Kévin Constant,Central Midfield,Retired,-,33,1
Nabil Taïder,Central Midfield,Retired,free transfer,35,1
Pantxi Sirieix,Central Midfield,Retired,free transfer,37,13
Nicolas Dieuze,Central Midfield,Retired,-,35,2
Laurent Batlles,Central Midfield,Retired,free transfer,37,2
Albin Ebondo,Right-Back,Retired,free transfer,28,2
Walid Cherfa,Left-Back,Toulouse Rodéo,-,33,2
Jérémy Mathieu,Left-Back,Retired,free transfer,37,3
Issoumaila Dao,Centre-Back,Retired,?,31,1
Mohamed Fofana,Centre-Back,Retired,free transfer,33,2
Dominique Arribagé,Centre-Back,Retired,free transfer,37,4
Daniel Congré,Centre-Back,Dijon,€5.00m,36,9
Lucien Aubey,Centre-Back,Retired,free transfer,29,1
Nicolas Douchez,Goalkeeper,Retired,free transfer,39,1
Julien Quercia,Centre-Forward,Thionville Lus.,free transfer,35,2
Weldon,Centre-Forward,América FC-SP,-,19,-22
Mohamed Kader,Centre-Forward,Retired,-,35,2
Ilan,Centre-Forward,Retired,free transfer,34,2
Jérémy Ménez,Right Winger,Reggina,-,33,1
Mourad Meghni,Attacking Midfield,Retired,-,33,2
Philippe Brunel,Left Midfield,Retired,free transfer,40,2
Mickaël Isabey,Right Midfield,Retired,free transfer,36,2
Jaouad Zairi,Right Midfield,Retired,free transfer,35,0
Benjamin Genghini,Central Midfield,AS Mutzig,free transfer,36,2
Fabien Boudarène,Defensive Midfield,Retired,free transfer,34,1
Guirane N'Daw,Defensive Midfield,Retired,free transfer,32,1
Romain Pitau,Defensive Midfield,Retired,free transfer,36,4
Jean Calvé,Right-Back,FC Saint-Leu,-,35,1
Omar Daf,Right-Back,Retired,free transfer,36,1
Ahmed Samir Farag,Left-Back,Retired,free transfer,32,2
Lionel Potillon,Left-Back,Retired,€1.00m,33,3
Arnaud Bühler,Centre-Back,FC Bavois,free transfer,32,1
Miranda,Centre-Back,São Paulo,free transfer,37,2
Rabiu Afolabi,Centre-Back,Retired,-,33,0
Souleymane Diawara,Centre-Back,Retired,free transfer,36,1
Alexandre Martinovic,Goalkeeper,FC Porrentruy,free transfer,34,1
Teddy Richert,Goalkeeper,Retired,?,38,10
Claudiu Keseru,Centre-Forward,UTA Arad,free transfer,35,1
Julio Hernán Rossi,Centre-Forward,Retired,-,35,1
Grégory Pujol,Centre-Forward,Saint-Amand,-,39,3
Dennis Oliech,Right Winger,Retired,-,35,1
Luigi Glombard,Right Winger,Retired,free transfer,33,2
Frédéric Da Rocha,Right Winger,Retired,free transfer,37,1
Aurélien Capoue,Left Winger,Retired,free transfer,32,3
Dimitri Payet,Attacking Midfield,Marseille,€15.00m,30,2
Olivier Quint,Left Midfield,Retired,?,34,5
Emerse Faé,Central Midfield,Retired,€2.50m,28,3
Kévin Das Neves,Defensive Midfield,Retired,free transfer,32,3
Nicolas Savinaud,Defensive Midfield,Retired,free transfer,34,0
Gilles Yapi,Defensive Midfield,Retired,free transfer,37,1
David Leray,Right-Back,Retired,-,29,1
Franck Signorino,Left-Back,Retired,free transfer,36,1
Steven Thicot,Centre-Back,Clyde FC,-,35,0
Jean-Jacques Pierre,Centre-Back,Retired,free transfer,38,1
Loïc Guillon,Centre-Back,Retired,free transfer,36,2
Pascal Delhommeau,Centre-Back,Retired,free transfer,33,3
Perica Radic,Goalkeeper,US Mandelieu,-,33,5
Tony Heurtebis,Goalkeeper,Retired,free transfer,35,5
Mickaël Landreau,Goalkeeper,Retired,free transfer,35,1
