,Unnamed: 0,teams,playerprofile,birthdate,position,retiredOrNot,retirementDate,lastTransferFee,lastTransferDate
3233,3233,ACF Fiorentina,Antonio Rizzo,03/28/1981,Right-Back,Retired,,?,01/01/2011
3234,3234,ACF Fiorentina,Giuseppe Pancaro,08/26/1971,Right-Back,Retired,07/01/2007,?,07/01/2006
3235,3235,ACF Fiorentina,Davide Brivio,03/17/1988,Left-Back,Without Club,,free transfer,01/31/2020
3236,3236,ACF Fiorentina,Mirko Savini,03/11/1979,Left-Back,Retired,,free transfer,07/11/2009
3237,3237,ACF Fiorentina,Manuel Pasqual,03/13/1982,Left-Back,Retired,01/11/2020,-,07/01/2019
3238,3238,ACF Fiorentina,Danilo D'Ambrosio,09/09/1988,Centre-Back,Inter,01/30/2014,?,01/01/2010
3239,3239,ACF Fiorentina,David Mateo,02/21/1987,Centre-Back,Retired,,-,07/01/2012
3240,3240,ACF Fiorentina,Antonio Aquilanti,11/08/1985,Centre-Back,Fossacesia,08/12/2022,-,03/20/2021
3241,3241,ACF Fiorentina,Michele Bacis,10/22/1979,Centre-Back,Retired,07/01/2011,-,12/01/2010
3242,3242,ACF Fiorentina,Marco Di Loreto,09/28/1974,Centre-Back,Retired,07/01/2010,,10/01/2009
3243,3243,ACF Fiorentina,Alessandro Gamberini,08/27/1981,Centre-Back,Retired,07/01/2018,€300Th.,07/24/2014
3244,3244,ACF Fiorentina,Dario Dainelli,06/09/1979,Centre-Back,Retired,,free transfer,07/16/2018
3245,3245,ACF Fiorentina,Per Kröldrup,07/31/1979,Centre-Back,Retired,07/01/2014,-,10/02/2013
3246,3246,ACF Fiorentina,Tomas Ujfalusi,03/24/1978,Centre-Back,Retired,,free transfer,09/04/2013
3247,3247,ACF Fiorentina,Nicolò Manfredini,05/01/1988,Goalkeeper,Benevento,07/19/2019,free transfer,11/13/2017
3248,3248,ACF Fiorentina,Marco Roccati,07/01/1975,Goalkeeper,Retired,,?,07/01/2007
3249,3249,ACF Fiorentina,Bogdan Lobont,01/18/1978,Goalkeeper,Retired,,€800Th.,07/08/2010
3250,3250,ACF Fiorentina,Sébastien Frey,03/18/1980,Goalkeeper,Retired,07/01/2015,?,07/15/2013
3251,3251,AS Roma,Stefano Okaka,08/09/1989,Centre-Forward,Basaksehir,09/08/2021,?,09/02/2019
3252,3252,AS Roma,Daniele Corvia,11/22/1984,Centre-Forward,Retired,,free transfer,07/12/2018
3253,3253,AS Roma,Shabani Nonda,03/06/1977,Centre-Forward,Retired,01/31/2010,€1.30m,08/01/2007
3254,3254,AS Roma,Vincenzo Montella,06/18/1974,Centre-Forward,Retired,07/02/2009,End of loan,06/30/2008
3255,3255,AS Roma,Antonio Cassano,07/12/1982,Second Striker,Retired,,-,07/27/2017
3256,3256,AS Roma,Francesco Totti,09/27/1976,Second Striker,Retired,07/01/2017,-,01/01/1993
3257,3257,AS Roma,Alessio Cerci,07/23/1987,Right Winger,Without Club,,-,10/09/2020
3258,3258,AS Roma,Rodrigo Taddei,03/06/1980,Right Winger,Retired,07/26/2016,free transfer,07/21/2014
3259,3259,AS Roma,Mancini,08/01/1980,Left Winger,Retired,05/16/2016,free transfer,01/07/2016
3260,3260,AS Roma,Simone Perrotta,09/17/1977,Attacking Midfield,Retired,07/01/2013,€7.20m,08/03/2004
3261,3261,AS Roma,Andrea Giacomini,04/04/1987,Left Midfield,Retired,,free transfer,07/01/2015
3262,3262,AS Roma,Édgar Álvarez,01/18/1980,Right Midfield,Retired,04/01/2019,-,07/29/2013
3263,3263,AS Roma,Leandro Greco,07/19/1986,Central Midfield,Retired,07/01/2021,free transfer,09/01/2020
3264,3264,AS Roma,Raffaele Longo,09/06/1977,Central Midfield,Retired,,-,03/01/2010
3265,3265,AS Roma,Houssine Kharja,11/09/1982,Central Midfield,Retired,07/01/2016,-,09/18/2015
3266,3266,AS Roma,Alberto Aquilani,07/07/1984,Central Midfield,Retired,07/01/2019,-,07/24/2018
3267,3267,AS Roma,Massimiliano Marsili,07/14/1987,Defensive Midfield,Casarano,07/20/2022,free transfer,08/05/2020
3268,3268,AS Roma,Damiano Tommasi,05/17/1974,Defensive Midfield,Retired,07/05/2019,free transfer,06/01/2019
3269,3269,AS Roma,Olivier Dacourt,09/25/1974,Defensive Midfield,Retired,02/08/2010,-,09/01/2009
3270,3270,AS Roma,Daniele De Rossi,07/24/1983,Defensive Midfield,Retired,01/06/2020,free transfer,07/26/2019
3271,3271,AS Roma,Gianluca Galasso,01/18/1984,Right-Back,Gaeta,07/18/2020,free transfer,08/16/2018
3272,3272,AS Roma,Luigi Sartor,01/30/1975,Right-Back,Retired,07/01/2009,?,07/01/2007
3273,3273,AS Roma,Aleandro Rosi,05/17/1987,Right-Back,Perugia,02/05/2019,-,07/01/2018
3274,3274,AS Roma,Christian Panucci,04/12/1973,Right-Back,Retired,08/22/2010,-,02/23/2010
3275,3275,AS Roma,Fabrizio Grillo,02/02/1987,Left-Back,Retired,07/01/2018,free transfer,08/24/2017
3276,3276,AS Roma,Andrea Briotti,05/02/1986,Left-Back,Astrea,07/01/2011,?,01/01/2011
3277,3277,AS Roma,Leandro Cufré,05/09/1978,Left-Back,Retired,07/01/2015,End of loan,06/30/2015
3278,3278,AS Roma,Daniele Magliocchetti,05/11/1986,Centre-Back,Without Club,,?,02/02/2015
3279,3279,AS Roma,Paolo Seppani,08/18/1986,,Ceccano,07/05/2020,free transfer,07/12/2019
3280,3280,AS Roma,Gianluca Freddi,03/29/1987,Centre-Back,Retired,07/01/2017,free transfer,01/31/2017
3281,3281,AS Roma,Cristian Chivu,10/26/1980,Centre-Back,Retired,03/31/2014,€16.00m,07/01/2007
3282,3282,AS Roma,Samuel Kuffour,09/03/1976,Centre-Back,Retired,01/01/2010,-,04/16/2009
3283,3283,AS Roma,Matteo Ferrari,12/05/1979,Centre-Back,Retired,,-,02/17/2012
3284,3284,AS Roma,Cesare Bovo,01/14/1983,Centre-Back,Retired,07/01/2019,-,09/12/2018
3285,3285,AS Roma,Philippe Mexès,03/30/1982,Centre-Back,Retired,07/01/2016,free transfer,07/01/2011
3286,3286,AS Roma,Francesco Maiorani,04/09/1988,,Unknown,,-,07/01/2008
3287,3287,AS Roma,Pietro Pipolo,02/02/1986,Goalkeeper,Retired,,End of loan,06/30/2008
3288,3288,AS Roma,Dimitrios Eleftheropoulos,08/07/1976,Goalkeeper,Retired,12/21/2011,free transfer,08/11/2011
3289,3289,AS Roma,Gianluca Curci,07/12/1985,Goalkeeper,Retired,,free transfer,01/23/2019
3290,3290,AS Roma,Doni,10/22/1979,Goalkeeper,Retired,08/12/2013,free transfer,01/31/2013
3291,3291,FC Internazionale,Loic Lumbilla Kandja,05/12/1987,Centre-Forward,Without Club,,free transfer,07/01/2013
3292,3292,FC Internazionale,Jacopo Ravasi,02/08/1987,Centre-Forward,Unknown,,free transfer,02/13/2018
3293,3293,FC Internazionale,Goran Slavkovski,04/08/1989,Centre-Forward,Retired,,-,01/01/2013
3294,3294,FC Internazionale,Domenico Germinale,06/03/1987,Centre-Forward,Without Club,,-,09/03/2021
3295,3295,FC Internazionale,Matteo Momentè,02/26/1987,Centre-Forward,Olginatese,12/30/2021,free transfer,08/24/2021
3296,3296,FC Internazionale,Julio Cruz,10/10/1974,Centre-Forward,Retired,07/01/2010,free transfer,07/01/2009
3297,3297,FC Internazionale,Obafemi Martins,10/28/1984,Centre-Forward,Retired,01/01/2021,free transfer,09/19/2020
3298,3298,FC Internazionale,Adriano,02/17/1982,Centre-Forward,Retired,05/28/2016,-,01/29/2016
3299,3299,FC Internazionale,Álvaro Recoba,03/17/1976,Second Striker,Retired,08/01/2015,free transfer,07/07/2011
3300,3300,FC Internazionale,Ilario Aloe,07/10/1986,Right Winger,Without Club,07/01/2015,-,12/01/2013
3301,3301,FC Internazionale,Andy van der Meyde,09/30/1979,Right Winger,Retired,07/01/2012,-,01/01/2012
3302,3302,FC Internazionale,Luís Figo,11/04/1972,Right Winger,Retired,,free transfer,07/01/2005
3303,3303,FC Internazionale,Tijani Belaid,09/06/1987,Attacking Midfield,Without Club,07/01/2022,free transfer,02/22/2022
3304,3304,FC Internazionale,Abdoulaye Diarra,10/12/1986,Left Midfield,Mil. Giarmata,07/01/2014,-,02/01/2014
3305,3305,FC Internazionale,Matteo Lombardo,03/06/1985,Left Midfield,Retired,,-,07/01/2011
3306,3306,FC Internazionale,Kily González,08/04/1974,Left Midfield,Retired,07/01/2011,free transfer,07/01/2010
3307,3307,FC Internazionale,Santiago Solari,10/07/1976,Left Midfield,Retired,01/01/2011,free transfer,08/01/2010
3308,3308,FC Internazionale,Juan Sebastián Verón,03/09/1975,Central Midfield,Retired,05/27/2017,-,01/01/2017
3309,3309,FC Internazionale,Georgios Karagounis,03/06/1977,Central Midfield,Retired,07/01/2014,free transfer,09/11/2012
3310,3310,FC Internazionale,David Pizarro,09/11/1979,Central Midfield,Retired,01/01/2019,-,01/30/2017
3311,3311,FC Internazionale,Dejan Stanković,09/11/1978,Central Midfield,Retired,07/06/2013,€4.00m,02/01/2004
3312,3312,FC Internazionale,Daniel Maa Boumsong,03/20/1987,Defensive Midfield,Retired,,?,07/01/2019
3313,3313,FC Internazionale,Cristiano Zanetti,04/19/1977,Defensive Midfield,Retired,01/30/2012,?,01/31/2011
3314,3314,FC Internazionale,Esteban Cambiasso,08/18/1980,Defensive Midfield,Retired,07/01/2017,free transfer,08/07/2015
3315,3315,FC Internazionale,Basty Kyeremateng,02/03/1987,,Retired,,-,12/24/2016
3316,3316,FC Internazionale,Daniel Semenzato,01/11/1987,Right-Back,Viterbese,01/20/2022,free transfer,09/29/2020
3317,3317,FC Internazionale,Zé Maria,07/25/1973,Right-Back,Retired,04/01/2008,-,01/01/2008
3318,3318,FC Internazionale,Javier Zanetti,08/10/1973,Right-Back,Retired,07/01/2014,€6.50m,07/01/1995
3319,3319,FC Internazionale,Simone Fautario,02/12/1987,Left-Back,Retired,07/01/2019,free transfer,12/14/2018
3320,3320,FC Internazionale,Giuseppe Favalli,01/08/1972,Left-Back,Retired,07/01/2010,free transfer,07/01/2006
3321,3321,FC Internazionale,Pierre Womé,03/26/1979,Left-Back,Retired,,free transfer,08/06/2015
3322,3322,FC Internazionale,Dennis Esposito,01/25/1988,Centre-Back,Retired,,End of loan,12/31/2011
3323,3323,FC Internazionale,Nicolas Giani,03/13/1986,Centre-Back,Without Club,07/01/2022,free transfer,08/08/2021
3324,3324,FC Internazionale,Siniša Mihajlović,02/20/1969,Centre-Back,Retired,07/01/2006,free transfer,07/30/2004
3325,3325,FC Internazionale,Leonardo Bonucci,05/01/1987,Centre-Back,Juventus,08/02/2018,€42.00m,07/21/2017
3326,3326,FC Internazionale,Marco Andreolli,06/10/1986,Centre-Back,Retired,07/01/2019,free transfer,01/31/2019
3327,3327,FC Internazionale,Marco Materazzi,08/19/1973,Centre-Back,Retired,01/01/2016,-,09/12/2014
3328,3328,FC Internazionale,Nicolás Burdisso,04/12/1981,Centre-Back,Retired,,free transfer,08/31/2017
3329,3329,FC Internazionale,Iván Córdoba,08/11/1976,Centre-Back,Retired,07/01/2012,€14.00m,01/01/2000
3330,3330,FC Internazionale,Wálter Samuel,03/23/1978,Centre-Back,Retired,07/01/2016,free transfer,07/23/2014
3331,3331,FC Internazionale,Mattia Barni,04/28/1988,,Retired,,,
3332,3332,FC Internazionale,Giacomo Bindi,01/02/1987,Goalkeeper,Retired,,?,08/16/2018
3333,3333,FC Internazionale,Paolo Tornaghi,06/21/1988,Goalkeeper,Without Club,,-,02/03/2022
3334,3334,FC Internazionale,Paolo Orlandoni,08/12/1972,Goalkeeper,Retired,,free transfer,07/01/2005
3335,3335,FC Internazionale,Alex Cordaz,01/01/1983,Goalkeeper,Inter,07/01/2021,free transfer,07/09/2015
3336,3336,FC Internazionale,Francesco Toldo,12/02/1971,Goalkeeper,Retired,07/01/2010,€26.50m,07/04/2001
3337,3337,FC Internazionale,Júlio César,09/03/1979,Goalkeeper,Retired,04/29/2018,-,01/29/2018
3338,3338,AC Milan,Matteo Ardemagni,03/26/1987,Centre-Forward,Siena,01/31/2022,End of loan,06/30/2021
3339,3339,AC Milan,Márcio Amoroso,07/05/1974,Centre-Forward,Retired,,-,07/01/2016
3340,3340,AC Milan,Christian Vieri,07/12/1973,Centre-Forward,Retired,04/01/2009,free transfer,07/01/2008
3341,3341,AC Milan,Filippo Inzaghi,08/09/1973,Centre-Forward,Retired,07/01/2012,€36.15m,07/02/2001
3342,3342,AC Milan,Alberto Gilardino,07/05/1982,Centre-Forward,Retired,,-,10/03/2017
3343,3343,AC Milan,Andriy Shevchenko,09/29/1976,Centre-Forward,Retired,07/28/2012,free transfer,08/29/2009
3344,3344,AC Milan,Sandro Bloudek,02/16/1986,Attacking Midfield,Retired,,?,07/01/2017
3345,3345,AC Milan,Rui Costa,03/29/1972,Attacking Midfield,Retired,07/01/2008,free transfer,07/01/2006
3346,3346,AC Milan,Kaká,04/22/1982,Attacking Midfield,Retired,12/17/2017,End of loan,12/31/2014
3347,3347,AC Milan,Serginho,06/27/1971,Left Midfield,Retired,07/01/2008,€8.90m,07/01/1999
3348,3348,AC Milan,Gastone Bottini,02/24/1987,Central Midfield,Unknown,,-,07/26/2021
3349,3349,AC Milan,Massimo Ambrosini,05/29/1977,Central Midfield,Retired,07/01/2014,free transfer,07/04/2013
3350,3350,AC Milan,Clarence Seedorf,04/01/1976,Central Midfield,Retired,01/14/2014,free transfer,07/01/2012
3351,3351,AC Milan,Gennaro Gattuso,01/09/1978,Central Midfield,Retired,07/01/2013,free transfer,07/01/2012
3352,3352,AC Milan,Davide Di Gennaro,06/16/1988,Defensive Midfield,Portici,10/12/2022,-,07/01/2022
3353,3353,AC Milan,Johann Vogel,03/08/1977,Defensive Midfield,Retired,03/01/2012,-,01/01/2012
3354,3354,AC Milan,Andrea Pirlo,05/19/1979,Defensive Midfield,Retired,01/01/2018,free transfer,07/06/2015
3355,3355,AC Milan,Federico Piazza,03/02/1987,midfield,Unknown,,?,07/01/2019
3356,3356,AC Milan,Dario Simic,11/12/1975,Right-Back,Retired,08/01/2010,free transfer,07/01/2010
3357,3357,AC Milan,Cafú,06/07/1970,Right-Back,Retired,03/01/2009,-,12/01/2008
3358,3358,AC Milan,Luca Antonelli,02/11/1987,Left-Back,Miami FC,02/17/2021,-,10/05/2020
3359,3359,AC Milan,Paolo Maldini,06/26/1968,Left-Back,Retired,07/01/2009,-,07/01/1985
3360,3360,AC Milan,Marek Jankulovski,05/09/1977,Left-Back,Retired,02/20/2012,-,10/10/2011
3361,3361,AC Milan,Elia Legati,01/03/1986,Centre-Back,Feralpisalò,01/16/2018,free transfer,08/12/2015
3362,3362,AC Milan,Lino Marzorati,10/12/1986,Centre-Back,Without Club,07/01/2022,free transfer,09/07/2020
3363,3363,AC Milan,William-Fils Aubameyang,02/16/1987,Centre-Back,Retired,,-,11/06/2014
3364,3364,AC Milan,Alessandro Costacurta,04/24/1966,Centre-Back,Retired,07/01/2007,End of loan,06/30/1987
3365,3365,AC Milan,Kakhaber Kaladze,02/27/1978,Centre-Back,Retired,07/01/2012,free transfer,08/31/2010
3366,3366,AC Milan,Jaap Stam,07/17/1972,Centre-Back,Retired,10/29/2007,€3.00m,07/01/2006
3367,3367,AC Milan,Alessandro Nesta,03/19/1976,Centre-Back,Retired,01/01/2015,-,11/26/2014
3368,3368,AC Milan,Davide Facchin,04/29/1987,Goalkeeper,Retired,07/01/2022,free transfer,07/11/2019
3369,3369,AC Milan,Eros Favaretto,09/29/1986,,Retired,,?,07/01/2008
3370,3370,AC Milan,Valerio Fiori,04/27/1969,Goalkeeper,Retired,07/01/2008,?,07/01/1999
3371,3371,AC Milan,Zeljko Kalac,12/16/1972,Goalkeeper,Retired,07/01/2010,free transfer,09/01/2009
3372,3372,AC Milan,Dida,10/07/1973,Goalkeeper,Retired,01/01/2016,free transfer,01/01/2014
3373,3373,Juventus FC,Michele Paolucci,02/06/1986,Centre-Forward,Civitanovese,07/01/2022,-,09/10/2020
3374,3374,Juventus FC,Marcelo Zalayeta,12/05/1978,Centre-Forward,Retired,,-,07/17/2011
3375,3375,Juventus FC,Fabrizio Miccoli,06/27/1979,Centre-Forward,Retired,12/15/2015,free transfer,07/01/2015
3376,3376,Juventus FC,Adrian Mutu,01/08/1979,Centre-Forward,Retired,07/01/2016,free transfer,01/17/2016
3377,3377,Juventus FC,Zlatan Ibrahimović,10/03/1981,Centre-Forward,AC Milan,01/02/2020,free transfer,03/23/2018
3378,3378,Juventus FC,David Trézéguet,10/15/1977,Centre-Forward,Retired,01/20/2015,free transfer,07/30/2014
3379,3379,Juventus FC,Samon Reider Rodríguez,10/28/1988,Second Striker,Livorno,07/11/2022,free transfer,12/14/2021
3380,3380,Juventus FC,Alessandro Del Piero,11/09/1974,Second Striker,Retired,01/01/2015,-,08/28/2014
3381,3381,Juventus FC,Pavel Nedved,08/30/1972,Left Midfield,Retired,07/01/2009,€45.00m,07/01/2001
3382,3382,Juventus FC,Mauro Camoranesi,10/04/1976,Right Midfield,Retired,07/01/2014,free transfer,07/22/2012
3383,3383,Juventus FC,Claudio Marchisio,01/19/1986,Central Midfield,Retired,10/03/2019,-,07/01/2019
3384,3384,Juventus FC,Rubén Olivera,05/04/1983,Central Midfield,Retired,,free transfer,07/06/2020
3385,3385,Juventus FC,Manuele Blasi,08/17/1980,Central Midfield,Retired,,free transfer,01/13/2017
3386,3386,Juventus FC,Alessio Tacchinardi,07/23/1975,Defensive Midfield,Retired,07/01/2008,free transfer,07/01/2007
3387,3387,Juventus FC,Giuliano Giannichedda,09/21/1974,Defensive Midfield,Retired,07/01/2008,free transfer,07/01/2007
3388,3388,Juventus FC,Émerson,04/04/1976,Defensive Midfield,Retired,10/16/2009,-,07/26/2009
3389,3389,Juventus FC,Patrick Vieira,06/23/1976,Defensive Midfield,Retired,07/14/2011,free transfer,01/07/2010
3390,3390,Juventus FC,Alessandro Birindelli,11/12/1974,Right-Back,Retired,07/01/2010,free transfer,08/20/2009
3391,3391,Juventus FC,Gianluca Zambrotta,02/19/1977,Right-Back,Retired,11/28/2013,-,07/19/2013
3392,3392,Juventus FC,Domenico Criscito,12/30/1986,Left-Back,Toronto,07/07/2022,free transfer,07/01/2018
3393,3393,Juventus FC,Gianluca Pessotto,08/11/1970,Left-Back,Retired,07/01/2006,€3.60m,07/01/1995
3394,3394,Juventus FC,Federico Balzaretti,12/06/1981,Left-Back,Retired,08/12/2015,€4.50m,08/01/2012
3395,3395,Juventus FC,Gladstone,01/29/1985,Centre-Back,Retired,,-,10/09/2020
3396,3396,Juventus FC,Robert Kovac,04/06/1974,Centre-Back,Retired,,€450Th.,01/29/2009
3397,3397,Juventus FC,Lilian Thuram,01/01/1972,Centre-Back,Retired,,€5.00m,07/20/2006
3398,3398,Juventus FC,Jonathan Zebina,07/19/1978,Centre-Back,Retired,,-,10/06/2014
3399,3399,Juventus FC,Giorgio Chiellini,08/14/1984,Centre-Back,LAFC,07/07/2022,€7.70m,07/01/2005
3400,3400,Juventus FC,Fabio Cannavaro,09/13/1973,Centre-Back,Retired,03/01/2012,-,02/01/2012
3401,3401,Juventus FC,Andrea Pozzato,05/11/1988,Goalkeeper,Briga,07/01/2016,-,12/01/2012
3402,3402,Juventus FC,Claudio Scarzanella,03/12/1986,Goalkeeper,Retired,,?,07/01/2016
3403,3403,Juventus FC,Alan Zattin,11/11/1987,Goalkeeper,Without Club,,?,07/01/2016
3404,3404,Juventus FC,Landry Bonnefoi,09/20/1983,Goalkeeper,Retired,07/01/2019,free transfer,08/30/2018
3405,3405,Juventus FC,Christian Abbiati,07/08/1977,Goalkeeper,Retired,07/01/2016,End of loan,06/30/2008
3406,3406,Juventus FC,Gianluigi Buffon,01/28/1978,Goalkeeper,Parma,07/01/2021,free transfer,07/04/2019
3407,3407,Heracles Almelo,Gertjan Tamerus,10/11/1980,Centre-Forward,Retired,07/01/2018,free transfer,07/01/2012
3408,3408,Heracles Almelo,Sota Hirayama,06/06/1985,Centre-Forward,Retired,01/31/2018,?,01/01/2017
3409,3409,Heracles Almelo,Marc Höcher,09/09/1984,Right Winger,Retired,07/01/2018,-,08/31/2017
3410,3410,Heracles Almelo,Denis Calincov,09/15/1985,Left Winger,Retired,,-,07/20/2016
3411,3411,Heracles Almelo,Thijs Sluijter,02/10/1980,Left Winger,Retired,,free transfer,07/01/2013
3412,3412,Heracles Almelo,Sander Weenk,01/01/1986,,Unknown,-,free transfer,07/01/2008
3413,3413,Heracles Almelo,Stefaan Tanghe,01/15/1972,Attacking Midfield,Retired,07/01/2012,free transfer,07/01/2010
3414,3414,Heracles Almelo,Mika Nurmela,12/26/1971,Right Midfield,Retired,,free transfer,01/01/2009
3415,3415,Heracles Almelo,Bernard Hofstede,09/22/1980,Central Midfield,Retired,07/01/2016,free transfer,07/01/2014
3416,3416,Heracles Almelo,Rob Maas,12/17/1969,Defensive Midfield,Retired,,free transfer,07/01/2008
3417,3417,Heracles Almelo,Kwame Quansah,11/24/1982,Defensive Midfield,Retired,12/01/2016,-,03/01/2016
3418,3418,Heracles Almelo,Remon de Vries,07/06/1979,midfield,Retired,07/01/2015,-,07/01/2014
3419,3419,Heracles Almelo,Mark Looms,03/24/1981,Left-Back,Retired,12/01/2013,free transfer,07/01/2012
3420,3420,Heracles Almelo,Ragnar Klavan,10/30/1985,Centre-Back,Paide,07/01/2021,€1.52m,08/17/2018
3421,3421,Heracles Almelo,Marnix Smit,12/10/1975,Centre-Back,Retired,07/01/2012,free transfer,07/01/2009
3422,3422,Heracles Almelo,Nico-Jan Hoogma,10/26/1968,Centre-Back,Retired,,free transfer,07/01/2004
3423,3423,Heracles Almelo,Jan Wuytens,06/09/1985,Centre-Back,Retired,07/01/2018,-,07/01/2017
3424,3424,Heracles Almelo,Peter Reekers,06/02/1981,Centre-Back,Retired,,free transfer,02/01/2013
3425,3425,Heracles Almelo,Rudy Jansen,01/02/1979,Centre-Back,Retired,07/01/2013,free transfer,07/01/2011
3426,3426,Heracles Almelo,Sergio Hellings,10/11/1984,Defender,Retired,,free transfer,07/01/2009
3427,3427,Heracles Almelo,Chris Wijnterp,05/22/1985,Goalkeeper,Retired,07/01/2014,free transfer,07/01/2011
3428,3428,Heracles Almelo,Brian van Loo,04/02/1975,Goalkeeper,Retired,07/01/2013,free transfer,07/01/2012
3429,3429,Heracles Almelo,Martin Pieckenhagen,11/15/1971,Goalkeeper,Retired,07/01/2011,free transfer,08/01/2010
3430,3430,RBC Roosendaal,Fouad Makhout,06/23/1985,Centre-Forward,Retired,12/01/2015,?,07/01/2013
3431,3431,RBC Roosendaal,Henk Vos,06/05/1968,Centre-Forward,Retired,,free transfer,07/01/2010
3432,3432,RBC Roosendaal,Donny de Groot,08/16/1979,Centre-Forward,Retired,,free transfer,09/01/2014
3433,3433,RBC Roosendaal,Ali Elkhattabi,01/17/1977,Centre-Forward,Retired,,?,07/01/2005
3434,3434,RBC Roosendaal,Paul Kpaka,08/07/1981,Centre-Forward,Retired,,-,09/01/2010
3435,3435,RBC Roosendaal,Richie Basoski,04/10/1987,,Retired,,free transfer,07/01/2020
3436,3436,RBC Roosendaal,Edgar Marcelino,09/10/1984,Right Winger,Without Club,,free transfer,07/01/2021
3437,3437,RBC Roosendaal,Nyron Wau,11/24/1982,Right Winger,Retired,,free transfer,07/01/2010
3438,3438,RBC Roosendaal,Ebou Sillah,04/12/1980,Left Winger,Retired,,free transfer,07/01/2012
3439,3439,RBC Roosendaal,Danny Guijt,02/07/1981,Attacking Midfield,Katwijk B,07/01/2016,free transfer,07/01/2013
3440,3440,RBC Roosendaal,Tim Smolders,08/26/1980,Central Midfield,Retired,07/01/2018,free transfer,08/27/2015
3441,3441,RBC Roosendaal,Paul de Lange,02/04/1981,Defensive Midfield,Retired,,free transfer,07/01/2013
3442,3442,RBC Roosendaal,Jorge Acuña,07/31/1978,Defensive Midfield,Retired,,-,07/01/2017
3443,3443,RBC Roosendaal,Tyrone Loran,06/29/1981,Right-Back,Retired,-,?,01/01/2011
3444,3444,RBC Roosendaal,Frits Paap,10/04/1986,Right-Back,Unknown,07/01/2017,free transfer,07/01/2015
3445,3445,RBC Roosendaal,Sidney Lammens,06/14/1977,Right-Back,Retired,07/01/2011,free transfer,07/01/2010
3446,3446,RBC Roosendaal,Björn Daelemans,12/11/1977,Right-Back,Retired,07/01/2011,?,07/01/2010
3447,3447,RBC Roosendaal,Nuelson Wau,12/17/1980,Right-Back,Retired,07/01/2014,?,07/01/2013
3448,3448,RBC Roosendaal,Melvin Fleur,02/18/1982,Left-Back,Retired,07/01/2010,free transfer,07/01/2009
3449,3449,RBC Roosendaal,Akram Roumani,04/01/1978,Left-Back,Retired,-,?,07/01/2007
3450,3450,RBC Roosendaal,Arjan Ebbinge,12/06/1974,Centre-Back,Retired,,free transfer,07/01/2009
3451,3451,RBC Roosendaal,Robert Molenaar,02/27/1969,Centre-Back,Retired,07/01/2007,free transfer,07/01/2003
3452,3452,RBC Roosendaal,José Fortes Rodriguez,03/13/1972,Centre-Back,Retired,07/01/2006,free transfer,01/01/2005
3453,3453,RBC Roosendaal,Adem Yaran,01/27/1985,Defender,Unknown,07/01/2006,free transfer,07/01/2006
3454,3454,RBC Roosendaal,Pauwie Otto,08/27/1986,,Unknown,07/01/2007,?,01/01/2007
3455,3455,RBC Roosendaal,Rodney Ubbergen,04/06/1986,Goalkeeper,Without Club,,-,12/13/2016
3456,3456,RBC Roosendaal,Erwin Friebel,03/27/1983,Goalkeeper,Retired,07/01/2016,free transfer,07/01/2015
3457,3457,RBC Roosendaal,Mark Volders,04/13/1977,Goalkeeper,Retired,07/01/2012,-,07/01/2010
3458,3458,Sparta Rotterdam,Marvin Emnes,05/27/1988,Centre-Forward,Without Club,07/01/2021,-,03/30/2021
3459,3459,Sparta Rotterdam,Ivan Tsvetkov,08/31/1979,Centre-Forward,Retired,07/01/2017,-,01/19/2017
3460,3460,Sparta Rotterdam,Dieter Van Tornhout,03/18/1985,Centre-Forward,SK Berlare,07/25/2019,-,01/10/2017
3461,3461,Sparta Rotterdam,Marvin Wijks,05/11/1984,Right Winger,Retired,,free transfer,07/01/2017
3462,3462,Sparta Rotterdam,Istvan Bakx,01/20/1986,Attacking Midfield,Retired,07/01/2022,free transfer,09/19/2020
3463,3463,Sparta Rotterdam,Jason Oost,10/10/1982,Attacking Midfield,Retired,07/01/2017,free transfer,07/18/2016
3464,3464,Sparta Rotterdam,Yuri Rose,05/08/1979,Attacking Midfield,Retired,,free transfer,07/01/2013
3465,3465,Sparta Rotterdam,Ricky van den Bergh,11/17/1980,Attacking Midfield,Retired,,-,07/01/2013
3466,3466,Sparta Rotterdam,Rachid Bouaouzan,02/20/1984,Left Midfield,Unknown,,free transfer,07/01/2015
3467,3467,Sparta Rotterdam,Christophe Kinet,12/31/1974,Left Midfield,Retired,,?,01/09/2006
3468,3468,Sparta Rotterdam,Edwin van Bueren,04/04/1980,Central Midfield,Retired,07/01/2015,free transfer,07/01/2012
3469,3469,Sparta Rotterdam,Jan Michels,09/08/1970,,Retired,07/01/2010,free transfer,07/01/2008
3470,3470,Sparta Rotterdam,Nathan Rutjes,12/01/1983,Defensive Midfield,Retired,07/01/2019,free transfer,08/07/2018
3471,3471,Sparta Rotterdam,Sani Kaita,05/02/1986,Defensive Midfield,Retired,,free transfer,01/01/2017
3472,3472,Sparta Rotterdam,Anthony Obodai,08/06/1982,Defensive Midfield,Retired,01/01/2016,free transfer,01/07/2015
3473,3473,Sparta Rotterdam,Joshua Brard,05/14/1986,,Retired,,free transfer,07/01/2013
3474,3474,Sparta Rotterdam,Mehmet Kerem Yilmaz,06/04/1984,midfield,Retired,09/23/2013,free transfer,07/01/2011
